"file","tag","rep","n_genes","n_null","n_panel_tested","n_candidate_fdr05","n_negative_fdr05","min_padj_candidate","top_candidate"
"MSvC_Control_rep01.rds","MSvC_Control",1,797,773,20,0,0,0.155,"P2RY12"
"MSvC_Control_rep02.rds","MSvC_Control",2,798,774,20,0,0,0.588,"TREM2"
"MSvC_Control_rep03.rds","MSvC_Control",3,797,773,20,0,0,0.77,"TYROBP"
"MSvC_Control_rep04.rds","MSvC_Control",4,797,773,20,0,0,0.61,"BIN1"
"MSvC_Control_rep05.rds","MSvC_Control",5,796,772,20,0,0,0.197,"CR1"
"MSvC_Control_rep06.rds","MSvC_Control",6,798,774,20,0,0,0.65,"BTK"
"MSvC_Control_rep07.rds","MSvC_Control",7,797,773,20,0,0,0.186,"CR1"
"MSvC_Control_rep08.rds","MSvC_Control",8,797,773,20,0,0,0.764,"TREM2"
"MSvC_Control_rep09.rds","MSvC_Control",9,797,773,20,0,0,0.532,"CD33"
"MSvC_Control_rep10.rds","MSvC_Control",10,797,773,20,0,0,0.217,"C3"
"MSvC_MS_rep01.rds","MSvC_MS",1,800,776,20,0,0,0.062,"MS4A4A"
"MSvC_MS_rep02.rds","MSvC_MS",2,800,776,20,0,0,0.737,"APOE"
"MSvC_MS_rep03.rds","MSvC_MS",3,800,776,20,0,0,0.636,"BIN1"
"MSvC_MS_rep04.rds","MSvC_MS",4,800,776,20,0,0,0.988,"TYROBP"
"MSvC_MS_rep05.rds","MSvC_MS",5,800,776,20,0,0,0.185,"P2RY12"
"MSvC_MS_rep06.rds","MSvC_MS",6,800,776,20,0,0,0.232,"C3"
"MSvC_MS_rep07.rds","MSvC_MS",7,800,776,20,0,0,0.42,"PICALM"
"MSvC_MS_rep08.rds","MSvC_MS",8,800,776,20,0,0,0.728,"BIN1"
"MSvC_MS_rep09.rds","MSvC_MS",9,800,776,20,0,0,0.873,"APOE"
"MSvC_MS_rep10.rds","MSvC_MS",10,800,776,20,0,0,0.642,"TREM2"
