"file","tag","rep","n_genes","n_cells","density","containment_all","containment_excl_deg0","n_deg0","n_sig_total","max_z"
"MSvC_Control_rep01.rds","MSvC_Control",1,797,353,87.2,99.25,100,6,969,20.78
"MSvC_Control_rep02.rds","MSvC_Control",2,798,343,87.5,99.87,100,1,886,3.86
"MSvC_Control_rep03.rds","MSvC_Control",3,797,369,86.3,99.62,100,3,981,5.28
"MSvC_Control_rep04.rds","MSvC_Control",4,797,344,84.6,99.5,100,4,863,26.9
"MSvC_Control_rep05.rds","MSvC_Control",5,796,367,87.5,99.62,100,3,912,6.41
"MSvC_Control_rep06.rds","MSvC_Control",6,798,354,87.2,99.75,100,2,928,4.27
"MSvC_Control_rep07.rds","MSvC_Control",7,797,362,86.5,99.87,100,1,837,21.58
"MSvC_Control_rep08.rds","MSvC_Control",8,797,358,88.5,99.75,100,2,937,4.84
"MSvC_Control_rep09.rds","MSvC_Control",9,797,357,84.8,99.5,100,4,944,8.68
"MSvC_Control_rep10.rds","MSvC_Control",10,797,353,86.2,99.75,100,2,867,5.97
"MSvC_MS_rep01.rds","MSvC_MS",1,800,679,78.4,98.38,100,13,981,4.81
"MSvC_MS_rep02.rds","MSvC_MS",2,800,674,77.1,99.38,100,5,889,8.29
"MSvC_MS_rep03.rds","MSvC_MS",3,800,693,80.9,99.25,100,6,895,12.94
"MSvC_MS_rep04.rds","MSvC_MS",4,800,693,80.8,99.38,100,5,889,5.92
"MSvC_MS_rep05.rds","MSvC_MS",5,800,669,78.4,99.12,100,7,904,7.24
"MSvC_MS_rep06.rds","MSvC_MS",6,800,681,78.4,98.75,100,10,976,6.11
"MSvC_MS_rep07.rds","MSvC_MS",7,800,686,79.4,99.38,100,5,886,5.71
"MSvC_MS_rep08.rds","MSvC_MS",8,800,673,81.1,99.25,100,6,848,6.08
"MSvC_MS_rep09.rds","MSvC_MS",9,800,694,80.5,99.5,100,4,881,28.25
"MSvC_MS_rep10.rds","MSvC_MS",10,800,699,82.1,99.12,100,7,893,1.48
