"network","knockout","outdegree","n_targets","n_significant","median_share_sig","median_share_non","rho"
"Control","CPEB3",75,37,37,0,NA,NA
"Control","CD33",146,70,70,0,NA,NA
"Control","KDM6A",194,111,111,0,NA,NA
"Control","BTK",197,116,116,0,NA,NA
"Control","YKT6",216,93,0,NA,0,NA
"Control","TTC17",264,144,0,NA,0,NA
"Control","PHACTR2",277,127,0,NA,0,NA
"Control","ALDH1A2",284,173,0,NA,0,NA
"Control","SCFD2",287,163,0,NA,0,NA
"Control","GMDS",305,150,0,NA,0,NA
"Control","VPS13B",330,149,0,NA,0,NA
"Control","CLASP1",745,411,0,NA,0,NA
"Control","GRB2",745,419,0,NA,-0.005,NA
"Control","IFI44L",745,408,0,NA,0.004,NA
"Control","JMJD1C",745,420,0,NA,0.006,NA
"Control","CHSY1",785,439,0,NA,-0.016,NA
"Control","DOCK4",785,435,0,NA,-0.009,NA
"Control","ETV6",785,437,0,NA,-0.016,NA
"Control","FAM49A",785,432,0,NA,0.002,NA
"MS","ITFG1",1,1,1,-0.002,NA,NA
"MS","GPHN",3,3,3,0.002,NA,NA
"MS","KDM4C",3,3,3,-0.002,NA,NA
"MS","GMDS-DT",22,6,6,-0.004,NA,NA
"MS","ARID2",45,14,14,0.002,NA,NA
"MS","BMPR2",55,23,23,0.006,NA,NA
"MS","UMAD1",59,31,31,0.002,NA,NA
"MS","CD33",75,27,27,-0.002,NA,NA
"MS","FBXO11",81,41,41,-0.002,NA,NA
"MS","BPTF",89,41,41,-0.002,NA,NA
"MS","COG5",117,44,44,-0.002,NA,NA
"MS","DPYD",716,360,0,NA,0.027,NA
"MS","N4BP2L2",716,369,0,NA,0.075,NA
"MS","PREX1",716,371,0,NA,-0.086,NA
"MS","REV3L",716,353,0,NA,0.009,NA
"MS","ADAM28",768,388,0,NA,-0.013,NA
"MS","ATG7",768,384,0,NA,0.181,NA
"MS","FKBP5",768,387,0,NA,0.089,NA
"MS","MAN2A1",768,387,0,NA,0.094,NA
