"network","knockout","outdegree","target","share","significant","bin"
"Control","CPEB3",75,"ARHGAP21",-0.000128386185646424,TRUE,NA
"Control","CPEB3",75,"BBS9",-0.000318572793883402,TRUE,NA
"Control","CPEB3",75,"CADM1",-0.000236630383341221,TRUE,NA
"Control","CPEB3",75,"CCDC88A",-0.000142714428428714,TRUE,NA
"Control","CPEB3",75,"CDK19",-0.000163238654913484,TRUE,NA
"Control","CPEB3",75,"CLASP2",-0.000117508813160987,TRUE,NA
"Control","CPEB3",75,"DDX17",-0.000186497575531518,TRUE,NA
"Control","CPEB3",75,"DLG1",-0.000121388686574411,TRUE,NA
"Control","CPEB3",75,"DOCK10",-0.00014553922282055,TRUE,NA
"Control","CPEB3",75,"DOCK5",-0.000110180696342001,TRUE,NA
"Control","CPEB3",75,"DST",-0.000106986198780357,TRUE,NA
"Control","CPEB3",75,"ERBIN",-0.000112007168458781,TRUE,NA
"Control","CPEB3",75,"FAM49A",0.000859106529209622,TRUE,"[0,0.1]"
"Control","CPEB3",75,"FRYL",-0.000147885241052943,TRUE,NA
"Control","CPEB3",75,"GAB1",-0.000125596583772921,TRUE,NA
"Control","CPEB3",75,"HDAC9",-0.000319897632757518,TRUE,NA
"Control","CPEB3",75,"MAF",-0.000511247443762781,TRUE,NA
"Control","CPEB3",75,"MAN2A1",-0.00012402331638348,TRUE,NA
"Control","CPEB3",75,"MBNL2",-0.000114064104026463,TRUE,NA
"Control","CPEB3",75,"MBP",-0.000112688753662384,TRUE,NA
"Control","CPEB3",75,"MIR181A1HG",0.00224215246636771,TRUE,"[0,0.1]"
"Control","CPEB3",75,"MTSS1",-0.000177904287493329,TRUE,NA
"Control","CPEB3",75,"MYO5A",-0.000137646249139711,TRUE,NA
"Control","CPEB3",75,"N4BP2L2",-0.000127502231289048,TRUE,NA
"Control","CPEB3",75,"NFIA",-0.000158478605388273,TRUE,NA
"Control","CPEB3",75,"NLK",-0.000154942671211652,TRUE,NA
"Control","CPEB3",75,"OSBPL1A",-0.000602046959662854,TRUE,NA
"Control","CPEB3",75,"PIP4K2A",-0.000124131082423039,TRUE,NA
"Control","CPEB3",75,"RGL1",-0.000132345156167284,TRUE,NA
"Control","CPEB3",75,"SHTN1",-0.000122639195486878,TRUE,NA
"Control","CPEB3",75,"SIK3",-0.000117716303708064,TRUE,NA
"Control","CPEB3",75,"SPTLC2",-0.000580046403712297,TRUE,NA
"Control","CPEB3",75,"UTY",-0.000508646998982706,TRUE,NA
"Control","CPEB3",75,"ZBTB20",-0.000112637981527371,TRUE,NA
"Control","CPEB3",75,"ZEB2",-0.00012313754463736,TRUE,NA
"Control","CPEB3",75,"ZNF638",-0.000130005200208008,TRUE,NA
"Control","CPEB3",75,"ZSWIM6",0.00210526315789474,TRUE,"[0,0.1]"
"Control","CD33",146,"ANKRD12",-0.000143595634692705,TRUE,NA
"Control","CD33",146,"APOE",0.00383141762452107,TRUE,"[0,0.1]"
"Control","CD33",146,"BAZ2B",-0.000207296849087894,TRUE,NA
"Control","CD33",146,"CADM1",-0.000236630383341221,TRUE,NA
"Control","CD33",146,"CCDC88A",-0.000142714428428714,TRUE,NA
"Control","CD33",146,"CDK19",-0.000163238654913484,TRUE,NA
"Control","CD33",146,"CELF2",0.000449640287769784,TRUE,"[0,0.1]"
"Control","CD33",146,"CLASP2",-0.000117508813160987,TRUE,NA
"Control","CD33",146,"DDX17",-0.000186497575531518,TRUE,NA
"Control","CD33",146,"DIP2B",-0.000354233085370174,TRUE,NA
"Control","CD33",146,"DLG1",-0.000121388686574411,TRUE,NA
"Control","CD33",146,"DLG2",-0.000298596595998806,TRUE,NA
"Control","CD33",146,"DOCK10",-0.00014553922282055,TRUE,NA
"Control","CD33",146,"DOCK5",-0.000110180696342001,TRUE,NA
"Control","CD33",146,"DST",-0.000106986198780357,TRUE,NA
"Control","CD33",146,"ELMO1",0.00044404973357016,TRUE,"[0,0.1]"
"Control","CD33",146,"ERBIN",-0.000112007168458781,TRUE,NA
"Control","CD33",146,"FAM13A",0.000296296296296296,TRUE,"[0,0.1]"
"Control","CD33",146,"FAM49A",0.00171821305841924,TRUE,"[0,0.1]"
"Control","CD33",146,"FOXP1",0.000507872016251905,TRUE,"[0,0.1]"
"Control","CD33",146,"FRYL",-0.000147885241052943,TRUE,NA
"Control","CD33",146,"FTH1",0.000513874614594039,TRUE,"[0,0.1]"
"Control","CD33",146,"GAB1",-0.000125596583772921,TRUE,NA
"Control","CD33",146,"GLDN",-0.000716332378223496,TRUE,NA
"Control","CD33",146,"HDAC9",-0.000319897632757518,TRUE,NA
"Control","CD33",146,"HS3ST4",-0.000471475719000471,TRUE,NA
"Control","CD33",146,"KCNMA1",0.00235849056603774,TRUE,"[0,0.1]"
"Control","CD33",146,"MAF",-0.000511247443762781,TRUE,NA
"Control","CD33",146,"MAN2A1",-0.00012402331638348,TRUE,NA
"Control","CD33",146,"MANBA",0.0624999999999998,TRUE,"[0,0.1]"
"Control","CD33",146,"MAP3K5",-0.00115340253748558,TRUE,NA
"Control","CD33",146,"MAP4K4",-0.000963391136801541,TRUE,NA
"Control","CD33",146,"MARCH1",-0.000327868852459016,TRUE,NA
"Control","CD33",146,"MBP",-0.000112688753662384,TRUE,NA
"Control","CD33",146,"MIR181A1HG",0.00224215246636771,TRUE,"[0,0.1]"
"Control","CD33",146,"MIR99AHG",0.000224014336917563,TRUE,"[0,0.1]"
"Control","CD33",146,"MSI2",0.00102145045965271,TRUE,"[0,0.1]"
"Control","CD33",146,"MSR1",0.000325309043591412,TRUE,"[0,0.1]"
"Control","CD33",146,"MTSS1",-0.000177904287493329,TRUE,NA
"Control","CD33",146,"MYO5A",-0.000137646249139711,TRUE,NA
"Control","CD33",146,"N4BP2L2",-0.000127502231289048,TRUE,NA
"Control","CD33",146,"NCOA3",-0.000558347292015634,TRUE,NA
