"ko","outdegree","n_sig","all_inside","frac_targets_sig","network","col"
"A2M",774,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"AAK1",705,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ABCA1",763,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ABCC4",736,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ABI1",742,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ABR",781,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"AC007262.2",751,2,TRUE,0.00133155792276964,"MS microglia, control net","#1f6fb4"
"AC087564.1",691,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"AC131944.1",774,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ACAP2",732,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ACER3",765,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ACSL1",786,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ACSL4",550,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ACTA2",500,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ACTB",773,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ACYP2",762,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ADAM10",738,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ADAM28",748,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ADAMTS17",686,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ADGRB3",780,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ADK",756,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"AFF1",726,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"AKAP13",758,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"AKT3",760,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"AL035446.2",753,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"AL163541.1",779,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"AL392172.2",677,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ALCAM",775,2,TRUE,0.00129032258064516,"MS microglia, control net","#1f6fb4"
"ALDH1A2",284,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ALPK1",753,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ANK2",761,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ANKRD11",751,2,TRUE,0.00133155792276964,"MS microglia, control net","#1f6fb4"
"ANKRD12",778,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ANKRD17",750,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ANKRD44",753,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ANKS1A",779,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ANOS1",713,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"AOAH",729,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"AP001977.1",657,3,TRUE,0.0030441400304414,"MS microglia, control net","#1f6fb4"
"AP3B1",715,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"APBA1",724,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"APBB1IP",783,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"APOE",767,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARHGAP12",747,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARHGAP15",765,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARHGAP18",761,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARHGAP21",777,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARHGAP22",593,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARHGAP24",702,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARHGAP25",790,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARHGAP26",789,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARHGAP6",750,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARID1A",763,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARID1B",738,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARID2",460,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARID4B",757,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARID5B",751,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARIH1",679,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ARL15",696,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ASAH1",770,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ASAP1",738,2,TRUE,0.0013550135501355,"MS microglia, control net","#1f6fb4"
"ASCC3",604,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ASH1L",703,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ASTN2",541,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ATF6",769,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ATF7IP",701,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ATG7",763,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ATM",688,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ATP1B3",753,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ATP2C1",769,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ATP8B4",741,1,TRUE,0,"MS microglia, control net","#1f6fb4"
