"ko_gene","role","outdegree","maxz","p_all","p_matched","n_matched","p_all_BH"
"C3","candidate",787,2.39,0.027,0.0275,690,0.5248
"PICALM","candidate",766,1.99,0.0438,0.0442,700,0.5248
"CX3CR1","candidate",783,1.75,0.0656,0.0665,691,0.5248
"STAT3","candidate",754,1.44,0.0965,0.0962,706,0.579
"CSF1R","candidate",754,1.03,0.171,0.175,706,0.72
"BIN1","candidate",788,0.98,0.18,0.183,689,0.72
"TYROBP","candidate",531,0.87,0.21,0.162,73,0.72
"C1QA","candidate",784,0.72,0.269,0.272,691,0.7992
"BTK","candidate",197,0.65,0.306,NA,1,0.7992
"APOE","candidate",767,0.59,0.333,0.341,699,0.7992
"IRF8","candidate",768,0.38,0.45,0.464,699,0.888
"CD33","candidate",146,0.35,0.468,NA,0,0.888
"YKT6","negative_control",216,0.33,0.481,NA,1,0.888
"IL10RA","candidate",753,0.14,0.598,0.619,708,0.974666666666667
"MS4A4A","candidate",755,0.08,0.647,0.673,706,0.974666666666667
"P2RY12","candidate",748,0.02,0.701,0.728,715,0.974666666666667
"CR1","candidate",754,0.01,0.71,0.741,706,0.974666666666667
"SPI1","candidate",734,-0.01,0.731,0.753,720,0.974666666666667
"TMEM119","candidate",728,-0.03,0.797,0.819,724,1
"TREM2","candidate",682,-0.04,0.901,0.92,738,1
"NFKB1","candidate",554,-0.04,0.95,0.739,110,1
"ACTA2","negative_control",500,-0.04,0.96,0.63,45,1
"TSHR","negative_control",0,-0.04,1,NA,0,1
"PECAM1","negative_control",696,-0.04,0.865,0.886,734,1
