"ko_gene","role","outdegree","maxz","p_all","p_matched","n_matched","p_all_BH"
"BIN1","candidate",727,1.84,0.0759,0.0723,621,0.9264
"BTK","candidate",584,1.83,0.0772,0.0837,262,0.9264
"IL10RA","candidate",713,0.97,0.257,0.252,630,1
"TMEM119","candidate",520,0.8,0.317,0.296,141,1
"IRF8","candidate",737,0.5,0.432,0.429,615,1
"SPI1","candidate",589,0.47,0.452,0.43,276,1
"PECAM1","negative_control",676,0.47,0.456,0.458,648,1
"CX3CR1","candidate",753,0.31,0.559,0.57,601,1
"P2RY12","candidate",759,0.3,0.56,0.574,597,1
"TYROBP","candidate",667,0.29,0.568,0.573,655,1
"PICALM","candidate",760,0.27,0.577,0.592,597,1
"APOE","candidate",756,0.22,0.624,0.646,598,1
"STAT3","candidate",756,0.2,0.632,0.654,598,1
"MS4A4A","candidate",754,0.18,0.65,0.672,600,1
"C3","candidate",758,0.17,0.663,0.689,597,1
"CSF1R","candidate",735,0.1,0.703,0.726,616,1
"CR1","candidate",746,0.09,0.723,0.756,609,1
"CD33","candidate",75,-0.01,0.807,NA,2,1
"TREM2","candidate",647,-0.04,0.912,0.949,669,1
"NFKB1","candidate",504,-0.04,0.945,0.779,121,1
"C1QA","candidate",650,-0.04,0.888,0.924,668,1
"ACTA2","negative_control",0,-0.04,1,NA,1,1
"TSHR","negative_control",484,-0.04,0.956,0.811,105,1
"YKT6","negative_control",145,-0.04,0.995,NA,5,1
