"ko_gene","outdegree_Control","max_z_Control","n_z2_Control","is_negative_control","outdegree_MS","max_z_MS","n_z2_MS","delta_max_z"
"C3",787,4.52,539,FALSE,758,2.62,74,-1.9
"BIN1",788,4.24,300,FALSE,727,2.56,1,-1.68
"STAT3",754,1.24,0,FALSE,756,4,208,2.76
"P2RY12",748,1.14,0,FALSE,759,3.99,300,2.85
"PICALM",766,2.14,8,FALSE,760,3.6,202,1.46
"APOE",767,3.53,80,FALSE,756,3.34,124,-0.19
"MS4A4A",755,1.94,0,FALSE,754,2.93,35,0.99
"BTK",197,0.5,0,FALSE,584,2.72,1,2.22
"IRF8",768,1.63,0,FALSE,737,2.58,13,0.95
"CSF1R",754,0.84,0,FALSE,735,2.42,11,1.58
"C1QA",784,2.24,1,FALSE,650,0.15,0,-2.09
"IL10RA",753,1.02,0,FALSE,713,2.1,2,1.08
"CR1",754,1.49,0,FALSE,746,2.09,1,0.6
"CX3CR1",783,2.08,3,FALSE,753,1.93,0,-0.15
"TMEM119",728,0.23,0,FALSE,520,1.25,0,1.02
"PECAM1",696,0,0,TRUE,676,1.01,0,1.01
"SPI1",734,0.24,0,FALSE,589,0.9,0,0.66
"TYROBP",531,0.71,0,FALSE,667,0.78,0,0.07
"CD33",146,0.23,0,FALSE,75,0.41,0,0.18
"YKT6",216,0.21,0,TRUE,145,0.17,0,-0.04
"TREM2",682,-0.21,0,FALSE,647,0.19,0,0.4
"ACTA2",500,-0.21,0,TRUE,0,NA,NA,NA
"NFKB1",554,-0.21,0,FALSE,504,-0.21,0,0
"TSHR",0,NA,NA,TRUE,484,-0.21,0,NA
