"ko_gene","n_sig_FDR05","n_sig_FDR01","min_p_adj","mean_Z","sd_Z","is_negative_control"
"BTK",198,198,1.30990792041804e-29,2.84312504095219e-16,1,FALSE
"CD33",147,147,1.66937086268956e-72,1.77577408073254e-16,1,FALSE
"APOE",1,1,0.00484632104684383,-1.78787648748291e-16,1,FALSE
"BIN1",1,1,0.00360169175764644,4.16274003114947e-17,1,FALSE
"C1QA",1,1,0.00323839102996941,-2.89559500508962e-16,1,FALSE
"C3",1,1,0.00488098926663659,2.77210437764353e-16,1,FALSE
"CR1",1,1,0.0076719568807896,-6.9500069761752e-17,1,FALSE
"CSF1R",1,1,0.00542317602187258,-3.52441058108777e-16,1,FALSE
"CX3CR1",1,1,0.00554556114618336,-3.73401396608353e-16,1,FALSE
"IL10RA",1,0,0.0148245319176036,-9.83870103443696e-17,1,FALSE
"IRF8",1,1,0.00700298063714835,1.35664049438766e-16,1,FALSE
"MS4A4A",1,1,0.00526801159064604,-4.78239951980097e-16,1,FALSE
"P2RY12",1,1,0.00308216835964415,1.76694596454308e-16,1,FALSE
"PECAM1",1,1,0.00247451854805837,-1.83067536824177e-16,1,TRUE
"PICALM",1,1,0.00248412325180465,-4.05244414414252e-16,1,FALSE
"SPI1",1,1,0.000855229167143242,1.64892513705717e-16,1,FALSE
"STAT3",1,1,0.00279903481172465,-2.98564883753627e-16,1,FALSE
"TMEM119",1,1,0.00255516098785018,2.28885920633415e-16,1,FALSE
"TREM2",1,1,0.00687470923255826,-4.7884547889343e-16,1,FALSE
"ACTA2",0,0,0.378463549221483,3.78391437107217e-16,1,TRUE
"NFKB1",0,0,0.0758510779636251,2.19271215767813e-16,1,FALSE
"TSHR",0,0,0.189467611238102,-8.17101919979579e-16,1,TRUE
"TYROBP",0,0,0.572823977093533,-3.64394929161516e-17,1,FALSE
"YKT6",0,0,0.13578530025356,4.60612450958742e-17,1,TRUE
