"ko_gene","n_sig_FDR05","n_sig_FDR01","min_p_adj","mean_Z","sd_Z","is_negative_control"
"ACTA2",188,156,1.29289338675874e-216,-4.61955506399908e-17,1,TRUE
"YKT6",146,146,8.73996536389151e-18,1.67012128952926e-16,1,TRUE
"CD33",76,76,1.16362056837119e-28,-5.44481452112444e-16,1,FALSE
"APOE",1,0,0.0275582902406648,-1.05473897844821e-16,1,FALSE
"BIN1",1,0,0.0185282453354289,4.70543742858709e-17,1,FALSE
"C1QA",1,0,0.0254114695790383,-2.08002560488085e-16,1,FALSE
"C3",1,1,0.00746998849920854,1.02021798127627e-16,1,FALSE
"STAT3",1,0,0.0365564202552792,-8.39199586558093e-17,1,FALSE
"BTK",0,0,0.143927297049745,1.20617491689012e-18,1,FALSE
"CR1",0,0,0.059321131663026,-1.82820880829937e-16,1,FALSE
"CSF1R",0,0,0.0666007451769682,1.41867854269728e-16,1,FALSE
"CX3CR1",0,0,0.0830523076089375,-1.51331855033354e-16,1,FALSE
"IL10RA",0,0,0.0619675421472603,1.50535508537664e-16,1,FALSE
"IRF8",0,0,0.0529216465158329,1.01774057931214e-16,1,FALSE
"MS4A4A",0,0,0.0735708424190346,-4.07059368850993e-16,1,FALSE
"NFKB1",0,0,0.520471490458702,-6.78309405172106e-17,1,FALSE
"P2RY12",0,0,0.059220885815601,-9.27426538344101e-18,1,FALSE
"PECAM1",0,0,0.518027158856045,1.83481159952981e-16,1,TRUE
"PICALM",0,0,0.067032970137712,3.50994190309595e-16,1,FALSE
"SPI1",0,0,0.0517630707045207,2.35585747958289e-16,1,FALSE
"TMEM119",0,0,0.787224962469396,1.60117145237004e-16,1,FALSE
"TREM2",0,0,0.692307205771241,-3.1148911575074e-16,1,FALSE
"TSHR",0,0,0.731633657895281,-1.27474528328897e-16,1,TRUE
"TYROBP",0,0,0.0532595891130998,-1.78745364863564e-16,1,FALSE
