ko_gene,threshold,n_affected,n_direct_targets,n_affected_that_are_direct,pct_affected_direct,pct_direct_affected
SPI1,nonzero,1205,801,394,32.7,49.2
SPI1,|delta|>1e-6,1090,801,355,32.6,44.3
SPI1,top100,100,801,52,52.0,6.5
IRF8,nonzero,887,511,196,22.1,38.4
IRF8,|delta|>1e-6,828,511,181,21.9,35.4
IRF8,top100,100,511,43,43.0,8.4
STAT3,nonzero,2498,1648,1386,55.5,84.1
STAT3,|delta|>1e-6,2012,1648,1135,56.4,68.9
STAT3,top100,100,1648,77,77.0,4.7
NFKB1,nonzero,2034,1336,989,48.6,74.0
NFKB1,|delta|>1e-6,1864,1336,916,49.1,68.6
NFKB1,top100,100,1336,87,87.0,6.5
